Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score
S1_Baseline,KDD,KDD,M2_XGBoost,9,0.9736359836671704,0.9883280248357054,0.9788172815844114,0.9835496619656148
S1_Baseline,KDD,KDD,M3_IsolationForest,9,0.20496415136803522,0.5501110053916904,0.06925810573390832,0.12302727240486576
S1_Baseline,KDD,KDD,M1_LogisticRegression,10,0.9438791093963508,0.9702676516894756,0.9597101044183122,0.9649600016059581
S1_Baseline,KDD,KDD,M2_XGBoost,10,0.9735873322080218,0.9883073945649544,0.9787769281450277,0.9835190739384698
S1_Baseline,KDD,KDD,M3_IsolationForest,10,0.2018004983522225,0.5348837209302325,0.06658414359015313,0.11842619225169561
S1_Baseline,CORES,CORES,M1_LogisticRegression,1,0.9568426270136308,0.9254074455309659,0.9998980490291487,0.9612117162267513
S1_Baseline,CORES,CORES,M2_XGBoost,1,0.9568475836431227,0.9253934897285242,0.9999258538393809,0.9612170349251604
S1_Baseline,CORES,CORES,M3_IsolationForest,1,0.4774175960346964,0.5613423620792671,0.10449047685249548,0.17618515537705404
S1_Baseline,CORES,CORES,M1_LogisticRegression,2,0.9567137546468402,0.9252302783924252,0.9998609759488392,0.9610990097686788
S1_Baseline,CORES,CORES,M2_XGBoost,2,0.9567335811648079,0.9252255497238516,0.9999073172992261,0.96111786689473
S1_Baseline,CORES,CORES,M3_IsolationForest,2,0.47501363073110286,0.548905253793308,0.10293340747949395,0.1733578921078921
S1_Baseline,CORES,CORES,M1_LogisticRegression,3,0.9565353159851301,0.92490098245975,0.9999165855693035,0.9609469985436958
S1_Baseline,CORES,CORES,M2_XGBoost,3,0.9565303593556381,0.9248711991976203,0.9999443903795356,0.960943762580829
S1_Baseline,CORES,CORES,M3_IsolationForest,3,0.48703345724907066,0.609009900990099,0.11401825849205245,0.1920761934501737
S1_Baseline,CORES,CORES,M1_LogisticRegression,4,0.9569415461786676,0.9255801981896958,0.9998795113722728,0.9612963301239925
S1_Baseline,CORES,CORES,M2_XGBoost,4,0.9569564161408483,0.9255821136258343,0.9999073164402098,0.9613102133195516
S1_Baseline,CORES,CORES,M3_IsolationForest,4,0.4838586560528181,0.5928264837929844,0.11136856544386156,0.1875112161856386
S1_Baseline,CORES,CORES,M1_LogisticRegression,5,0.9573430351575473,0.9262092412301035,0.9998980480842308,0.9616440554079831
S1_Baseline,CORES,CORES,M2_XGBoost,5,0.9573678184278485,0.9262124086776611,0.9999443898641259,0.9616671940528664
S1_Baseline,CORES,CORES,M3_IsolationForest,5,0.48542495873585495,0.6011907715207144,0.11230466939774222,0.18925567556169903
