Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_1_Fold_5,0.9574124283143907,0.92643187294727,0.999879681990245,0.961755541707469
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_1_Fold_5,0.9574124283143907,0.9264099332012794,0.9999074476848039,0.9617565630758548
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_1_Fold_5,0.47266157453072877,0.5407826729017967,0.10167797347450647,0.17117215375266823
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_2_Fold_1,0.9571251548946716,0.925687702613227,0.9999256913030958,0.9613756519254126
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_2_Fold_1,0.9571400247831474,0.9256896195913875,0.9999535570644349,0.9613895648679422
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_2_Fold_1,0.482636926889715,0.5807690414061346,0.10956817358511597,0.18435570836914902
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_2_Fold_2,0.9566988847583643,0.9253051261187958,0.9998611740969375,0.9611394815038878
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_2_Fold_2,0.9567038413878562,0.9252911956149367,0.99988893927755,0.9611447940251502
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_2_Fold_2,0.4802924411400248,0.5797347162660815,0.10759932993364121,0.18151019101816507
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_2_Fold_3,0.9563965303593557,0.9247137666255313,0.9998888013714498,0.9608331144285696
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_2_Fold_3,0.9564114002478314,0.9247157021535508,0.9999166010285873,0.9608469942922273
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_2_Fold_3,0.48728624535315984,0.6111249068785697,0.11402492702590002,0.1921905505661851
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_2_Fold_4,0.9572785986547641,0.9260141146536236,0.9998886186860718,0.9615345136139885
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_2_Fold_4,0.9572984252710051,0.9260093347888498,0.9999350275668752,0.9615533945920376
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_2_Fold_4,0.49505573757490745,0.64665,0.12004121108615344,0.20249260204481048
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_2_Fold_5,0.9568771096758844,0.9256087954241874,0.9998890039958561,0.961316140506892
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_2_Fold_5,0.9568721530218242,0.9255862936991087,0.9999075033298801,0.9613125541895468
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_2_Fold_5,0.48696647814859056,0.6150964132280947,0.11389114991860293,0.19219542651994068
