Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_2_Fold_3,0.46928042592931346,0.5978646821343451,0.10756306197904132,0.18232386348887314
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_2_Fold_4,0.554309838543522,0.5541528239202658,0.9677927878615374,0.7047625121574005
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_2_Fold_4,0.7177760982795306,0.7519409726631233,0.7260701070654435,0.7387791201520252
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_2_Fold_4,0.47026004409485206,0.5998503752684798,0.10884329910450376,0.18425363785294402
S1_Baseline,NETFLOW,NETFLOW,M1_LogisticRegression,Rep_2_Fold_5,0.5561380326235297,0.5561400294635082,0.967052005463694,0.7061700934341181
S1_Baseline,NETFLOW,NETFLOW,M2_XGBoost,Rep_2_Fold_5,0.7183747445645503,0.7535393728380547,0.7272517008583934,0.740162201534963
S1_Baseline,NETFLOW,NETFLOW,M3_IsolationForest,Rep_2_Fold_5,0.47002529683464633,0.6072368735940267,0.11073144547870599,0.18730691863362062
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_1_Fold_1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_1_Fold_1,0.367448559997145,0.4382996295925518,0.6492521405149099,0.5233166466580955
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_1_Fold_1,0.7904461768449603,0.722793698220834,0.986505348738491,0.8343067301157808
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_1_Fold_2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_1_Fold_2,0.762756406951984,0.8749150628534884,0.6491983843491704,0.7453427384814779
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_1_Fold_2,0.7227434403835249,0.6611800675763708,0.9877176429589618,0.7921161073186975
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_1_Fold_3,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_1_Fold_3,0.36758040660303665,0.43837937615367767,0.649333701593963,0.5233999826677863
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_1_Fold_3,0.8586217766974507,0.7977590305038355,0.9854672986414519,0.8817337697500831
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_1_Fold_4,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_1_Fold_4,0.7621229484469858,0.8734759328949108,0.649242872210472,0.7448493071446192
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_1_Fold_4,0.9255849825724561,0.8933605733965547,0.9775410446862031,0.933556975694383
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_1_Fold_5,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_1_Fold_5,0.36416825609567505,0.4365035953115791,0.649385604098815,0.5220774846763822
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_1_Fold_5,0.8899665724244311,0.8409817618681551,0.9794521690612876,0.9049506239231631
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_2_Fold_1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_2_Fold_1,0.36722055458846015,0.4381790843884707,0.6493188723068625,0.5232523834953451
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_2_Fold_1,0.8186326019977239,0.7537100899359674,0.9816339279259574,0.8527040039159992
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_2_Fold_2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S2_Transfer,KDD,CORES,M2_XGBoost,Rep_2_Fold_2,0.7631767299662552,0.8756342259569001,0.6494041407076907,0.745739260744577
S2_Transfer,KDD,CORES,M3_IsolationForest,Rep_2_Fold_2,0.9336504260727159,0.8942503917115668,0.993410235544689,0.9412258532481651
S2_Transfer,KDD,CORES,M1_LogisticRegression,Rep_2_Fold_3,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
