Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score,Threshold
S1_Baseline,KDD,KDD,M1_LogisticRegression,8,0.9433495161238465,0.9880510659706937,0.9410226206400862,0.9639635954596585,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,8,0.9755811336527023,0.9890249305247896,0.9805538363247949,0.98477116647451,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,8,0.2984278043918593,0.6050255841997197,0.37063509493481345,0.459675622136932,
S1_Baseline,KDD,KDD,M1_LogisticRegression,9,0.9418062566311931,0.9872902684563758,0.9398259064047276,0.9629735700842812,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,9,0.9735716811883098,0.9882680212868892,0.9787973167225683,0.9835098700048146,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,9,0.3009999035462817,0.6070942221645808,0.3738220731512538,0.4627208698875572,
S1_Baseline,KDD,KDD,M1_LogisticRegression,10,0.9425930391447633,0.9881007345225603,0.9400243576177452,0.96346317157269,0.35
S1_Baseline,KDD,KDD,M2_XGBoost,10,0.9736355598424564,0.9884262526464361,0.9787170323636872,0.9835476816275757,0.49999999999999994
S1_Baseline,KDD,KDD,M3_IsolationForest,10,0.30114942528735633,0.6072088425010534,0.37400922395032643,0.4628975265017668,
S1_Baseline,CORES,CORES,M1_LogisticRegression,1,0.9568426270136308,0.9254074455309659,0.9998980490291487,0.9612117162267513,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,1,0.9568525402726146,0.9253941296553617,0.9999351221094582,0.961221662412409,0.05
S1_Baseline,CORES,CORES,M3_IsolationForest,1,0.5856456009913259,0.6204220396269241,0.5801473654942305,0.5996091691971684,
S1_Baseline,CORES,CORES,M1_LogisticRegression,2,0.9567137546468402,0.9252302783924252,0.9998609759488392,0.9610990097686788,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,2,0.9567286245353159,0.9252176150250847,0.9999073172992261,0.9611135857461024,0.05
S1_Baseline,CORES,CORES,M3_IsolationForest,2,0.58417843866171,0.6195142353538673,0.5765883497845127,0.5972810276793686,
S1_Baseline,CORES,CORES,M1_LogisticRegression,3,0.9565353159851301,0.92490098245975,0.9999165855693035,0.9609469985436958,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,3,0.9565254027261462,0.9248705551555053,0.9999351221094582,0.960939135236721,0.65
S1_Baseline,CORES,CORES,M3_IsolationForest,3,0.56382156133829,0.5982343879606589,0.5614903378284444,0.579280274235883,
S1_Baseline,CORES,CORES,M1_LogisticRegression,4,0.9569415461786676,0.9255801981896958,0.9998795113722728,0.9612963301239925,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,4,0.9569514594867881,0.9255741727365541,0.9999073164402098,0.9613059304175039,0.05
S1_Baseline,CORES,CORES,M3_IsolationForest,4,0.5840475045725134,0.6184959671042227,0.5799395703190168,0.5985975452258182,
S1_Baseline,CORES,CORES,M1_LogisticRegression,5,0.9573430351575473,0.9262092412301035,0.9998980480842308,0.9616440554079831,0.39999999999999997
S1_Baseline,CORES,CORES,M2_XGBoost,5,0.9573529484656678,0.9261885548477928,0.9999443898641259,0.961654336393618,0.25
